record,type,safetyClass,blocker,remediable,remediationPerformed,finalEligibility,contentGaps,status,profileStatus
diy-pool-chemical-balancing,DIY,REVIEW_REQUIRED,REVIEW_REQUIRED — required human safety review not completed; cannot invent approval,false,none — REVIEW_REQUIRED not bypassed,blocked,en_words_94|ar_words_81,draft,safety_review
diy-pool-drain-cleaning,DIY,REVIEW_REQUIRED,REVIEW_REQUIRED — required human safety review not completed; cannot invent approval,false,none — REVIEW_REQUIRED not bypassed,blocked,en_words_94|ar_words_81,draft,safety_review
diy-pool-equipment-inspection,DIY,RED,RED safety gate — never force public,false,none — safety prohibited,blocked,en_words_133|ar_words_81,draft,draft
diy-pool-filter-cleaning,DIY,REVIEW_REQUIRED,REVIEW_REQUIRED — required human safety review not completed; cannot invent approval,false,none — REVIEW_REQUIRED not bypassed,blocked,en_words_94|ar_words_81,draft,safety_review
diy-pool-filter-maintenance,DIY,REVIEW_REQUIRED,REVIEW_REQUIRED — required human safety review not completed; cannot invent approval,false,none — REVIEW_REQUIRED not bypassed,blocked,en_words_94|ar_words_81,draft,safety_review
diy-pool-leak-inspection,DIY,RED,RED safety gate — never force public,false,none — safety prohibited,blocked,en_words_133|ar_words_81,draft,draft
diy-pool-pump-inspection,DIY,RED,RED safety gate — never force public,false,none — safety prohibited,blocked,en_words_133|ar_words_81,draft,draft
diy-pool-pump-maintenance,DIY,RED,RED safety gate — never force public,false,none — safety prohibited,blocked,en_words_133|ar_words_81,draft,draft
diy-pool-water-testing,DIY,REVIEW_REQUIRED,REVIEW_REQUIRED — required human safety review not completed; cannot invent approval,false,none — REVIEW_REQUIRED not bypassed,blocked,en_words_94|ar_words_81,draft,safety_review
diy-post-construction-cleaning,DIY,YELLOW,YELLOW safety — existing system does not explicitly permit automatic public DIY publication (GREEN-only publish path; diyProceduralAllowed=GREEN only),false,none — safety-gated; content gaps noted but not remediable into eligibility without inventing safety permit,blocked,en_words_142|ar_words_81,draft,draft
diy-post-renovation-cleaning,DIY,YELLOW,YELLOW safety — existing system does not explicitly permit automatic public DIY publication (GREEN-only publish path; diyProceduralAllowed=GREEN only),false,none — safety-gated; content gaps noted but not remediable into eligibility without inventing safety permit,blocked,en_words_115|ar_words_81,draft,draft
diy-preventive-building-maintenance,DIY,YELLOW,YELLOW safety — existing system does not explicitly permit automatic public DIY publication (GREEN-only publish path; diyProceduralAllowed=GREEN only),false,none — safety-gated; content gaps noted but not remediable into eligibility without inventing safety permit,blocked,en_words_142|ar_words_81,draft,draft
diy-preventive-gym-maintenance,DIY,REVIEW_REQUIRED,REVIEW_REQUIRED — required human safety review not completed; cannot invent approval,false,none — REVIEW_REQUIRED not bypassed,blocked,en_words_94|ar_words_81,draft,safety_review
diy-refrigerator-compressor-inspection,DIY,RED,RED safety gate — never force public,false,none — safety prohibited,blocked,en_words_133|ar_words_81,draft,draft
diy-refrigerator-compressor-replacement,DIY,RED,RED safety gate — never force public,false,none — safety prohibited,blocked,en_words_133|ar_words_81,draft,draft
diy-refrigerator-cooling-problem,DIY,YELLOW,YELLOW safety — existing system does not explicitly permit automatic public DIY publication (GREEN-only publish path; diyProceduralAllowed=GREEN only),false,none — safety-gated; content gaps noted but not remediable into eligibility without inventing safety permit,blocked,en_words_140|ar_words_81,draft,draft
diy-refrigerator-drain-blockage-repair,DIY,YELLOW,YELLOW safety — existing system does not explicitly permit automatic public DIY publication (GREEN-only publish path; diyProceduralAllowed=GREEN only),false,none — safety-gated; content gaps noted but not remediable into eligibility without inventing safety permit,blocked,en_words_143|ar_words_81,draft,draft
diy-refrigerator-electrical-fault-diagnosis,DIY,RED,RED safety gate — never force public,false,none — safety prohibited,blocked,en_words_135|ar_words_81,draft,draft
diy-refrigerator-fan-motor-repair,DIY,RED,RED safety gate — never force public,false,none — safety prohibited,blocked,en_words_135|ar_words_81,draft,draft
diy-refrigerator-freezing-problem,DIY,YELLOW,YELLOW safety — existing system does not explicitly permit automatic public DIY publication (GREEN-only publish path; diyProceduralAllowed=GREEN only),false,none — safety-gated; content gaps noted but not remediable into eligibility without inventing safety permit,blocked,en_words_140|ar_words_81,draft,draft
diy-refrigerator-ice-formation-problem,DIY,YELLOW,YELLOW safety — existing system does not explicitly permit automatic public DIY publication (GREEN-only publish path; diyProceduralAllowed=GREEN only),false,none — safety-gated; content gaps noted but not remediable into eligibility without inventing safety permit,blocked,en_words_143|ar_words_81,draft,draft
diy-refrigerator-inspection,DIY,YELLOW,YELLOW safety — existing system does not explicitly permit automatic public DIY publication (GREEN-only publish path; diyProceduralAllowed=GREEN only),false,none — safety-gated; content gaps noted but not remediable into eligibility without inventing safety permit,blocked,en_words_137|ar_words_81,draft,draft
diy-refrigerator-temperature-control-repair,DIY,RED,RED safety gate — never force public,false,none — safety prohibited,blocked,en_words_135|ar_words_81,draft,draft
diy-refrigerator-thermostat-inspection,DIY,RED,RED safety gate — never force public,false,none — safety prohibited,blocked,en_words_133|ar_words_81,draft,draft
diy-refrigerator-water-leakage,DIY,YELLOW,YELLOW safety — existing system does not explicitly permit automatic public DIY publication (GREEN-only publish path; diyProceduralAllowed=GREEN only),false,none — safety-gated; content gaps noted but not remediable into eligibility without inventing safety permit,blocked,en_words_140|ar_words_81,draft,draft
diy-repainting,DIY,YELLOW,YELLOW safety — existing system does not explicitly permit automatic public DIY publication (GREEN-only publish path; diyProceduralAllowed=GREEN only),false,none — safety-gated; content gaps noted but not remediable into eligibility without inventing safety permit,blocked,en_words_141|ar_words_81,draft,draft
diy-residential-building-maintenance,DIY,YELLOW,YELLOW safety — existing system does not explicitly permit automatic public DIY publication (GREEN-only publish path; diyProceduralAllowed=GREEN only),false,none — safety-gated; content gaps noted but not remediable into eligibility without inventing safety permit,blocked,en_words_131|ar_words_81,draft,draft
diy-residential-painting,DIY,YELLOW,YELLOW safety — existing system does not explicitly permit automatic public DIY publication (GREEN-only publish path; diyProceduralAllowed=GREEN only),false,none — safety-gated; content gaps noted but not remediable into eligibility without inventing safety permit,blocked,en_words_144|ar_words_81,draft,draft
diy-residential-pool-maintenance,DIY,YELLOW,YELLOW safety — existing system does not explicitly permit automatic public DIY publication (GREEN-only publish path; diyProceduralAllowed=GREEN only),false,none — safety-gated; content gaps noted but not remediable into eligibility without inventing safety permit,blocked,en_words_143|ar_words_81,draft,draft
diy-residential-water-tank-cleaning,DIY,RED,RED safety gate — never force public,false,none — safety prohibited,blocked,en_words_135|ar_words_81,draft,draft
diy-rooftop-water-tank-cleaning,DIY,YELLOW,YELLOW safety — existing system does not explicitly permit automatic public DIY publication (GREEN-only publish path; diyProceduralAllowed=GREEN only),false,none — safety-gated; content gaps noted but not remediable into eligibility without inventing safety permit,blocked,en_words_145|ar_words_81,draft,draft
diy-running-toilet-repair,DIY,YELLOW,YELLOW safety — existing system does not explicitly permit automatic public DIY publication (GREEN-only publish path; diyProceduralAllowed=GREEN only),false,none — safety-gated; content gaps noted but not remediable into eligibility without inventing safety permit,blocked,en_words_146|ar_words_81,draft,draft
diy-sauna-disinfection,DIY,REVIEW_REQUIRED,REVIEW_REQUIRED — required human safety review not completed; cannot invent approval,false,none — REVIEW_REQUIRED not bypassed,blocked,en_words_92|ar_words_81,draft,safety_review
diy-sauna-equipment-inspection,DIY,REVIEW_REQUIRED,REVIEW_REQUIRED — required human safety review not completed; cannot invent approval,false,none — REVIEW_REQUIRED not bypassed,blocked,en_words_94|ar_words_81,draft,safety_review
diy-sauna-heater-inspection,DIY,RED,RED safety gate — never force public,false,none — safety prohibited,blocked,en_words_133|ar_words_81,draft,draft
diy-sauna-heater-maintenance,DIY,RED,RED safety gate — never force public,false,none — safety prohibited,blocked,en_words_133|ar_words_81,draft,draft
diy-sauna-inspection,DIY,YELLOW,YELLOW safety — existing system does not explicitly permit automatic public DIY publication (GREEN-only publish path; diyProceduralAllowed=GREEN only),false,none — safety-gated; content gaps noted but not remediable into eligibility without inventing safety permit,blocked,en_words_141|ar_words_81,draft,draft
diy-sauna-maintenance,DIY,YELLOW,YELLOW safety — existing system does not explicitly permit automatic public DIY publication (GREEN-only publish path; diyProceduralAllowed=GREEN only),false,none — safety-gated; content gaps noted but not remediable into eligibility without inventing safety permit,blocked,en_words_126|ar_words_81,draft,draft
diy-sauna-ventilation-inspection,DIY,RED,RED safety gate — never force public,false,none — safety prohibited,blocked,en_words_133|ar_words_81,draft,draft
diy-sauna-wood-treatment,DIY,REVIEW_REQUIRED,REVIEW_REQUIRED — required human safety review not completed; cannot invent approval,false,none — REVIEW_REQUIRED not bypassed,blocked,en_words_94|ar_words_81,draft,safety_review
diy-scheduled-water-tank-maintenance,DIY,RED,RED safety gate — never force public,false,none — safety prohibited,blocked,en_words_135|ar_words_81,draft,draft
diy-shell-ac-cleaning,DIY,YELLOW,YELLOW safety — existing system does not explicitly permit automatic public DIY publication (GREEN-only publish path; diyProceduralAllowed=GREEN only),false,none — safety-gated; content gaps noted but not remediable into eligibility without inventing safety permit,blocked,en_words_39|ar_words_81,draft,draft
diy-shell-ac-cooling-problem-diagnosis,DIY,YELLOW,YELLOW safety — existing system does not explicitly permit automatic public DIY publication (GREEN-only publish path; diyProceduralAllowed=GREEN only),false,none — safety-gated; content gaps noted but not remediable into eligibility without inventing safety permit,blocked,en_words_43|ar_words_81,draft,draft
diy-shell-ac-drain-cleaning,DIY,YELLOW,YELLOW safety — existing system does not explicitly permit automatic public DIY publication (GREEN-only publish path; diyProceduralAllowed=GREEN only),false,none — safety-gated; content gaps noted but not remediable into eligibility without inventing safety permit,blocked,en_words_41|ar_words_81,draft,draft
diy-shell-ac-drain-pipe-repair,DIY,RED,RED safety gate — never force public,false,none — safety prohibited,blocked,en_words_43|ar_words_81,draft,draft
diy-shell-ac-gas-check,DIY,RED,RED safety gate — never force public,false,none — safety prohibited,blocked,en_words_41|ar_words_81,draft,draft
diy-shell-ac-gas-recharge,DIY,RED,RED safety gate — never force public,false,none — safety prohibited,blocked,en_words_41|ar_words_81,draft,draft
diy-shell-ac-inspection,DIY,YELLOW,YELLOW safety — existing system does not explicitly permit automatic public DIY publication (GREEN-only publish path; diyProceduralAllowed=GREEN only),false,none — safety-gated; content gaps noted but not remediable into eligibility without inventing safety permit,blocked,en_words_39|ar_words_81,draft,draft
diy-shell-ac-installation,DIY,RED,RED safety gate — never force public,false,none — safety prohibited,blocked,en_words_39|ar_words_81,draft,draft
diy-shell-ac-maintenance,DIY,YELLOW,YELLOW safety — existing system does not explicitly permit automatic public DIY publication (GREEN-only publish path; diyProceduralAllowed=GREEN only),false,none — safety-gated; content gaps noted but not remediable into eligibility without inventing safety permit,blocked,en_words_45|ar_words_81,draft,draft
diy-shell-ac-noise-problem-diagnosis,DIY,YELLOW,YELLOW safety — existing system does not explicitly permit automatic public DIY publication (GREEN-only publish path; diyProceduralAllowed=GREEN only),false,none — safety-gated; content gaps noted but not remediable into eligibility without inventing safety permit,blocked,en_words_43|ar_words_81,draft,draft
diy-shell-ac-preventive-maintenance,DIY,YELLOW,YELLOW safety — existing system does not explicitly permit automatic public DIY publication (GREEN-only publish path; diyProceduralAllowed=GREEN only),false,none — safety-gated; content gaps noted but not remediable into eligibility without inventing safety permit,blocked,en_words_41|ar_words_81,draft,draft
diy-shell-ac-replacement,DIY,RED,RED safety gate — never force public,false,none — safety prohibited,blocked,en_words_39|ar_words_81,draft,draft
diy-shell-ac-servicing,DIY,YELLOW,YELLOW safety — existing system does not explicitly permit automatic public DIY publication (GREEN-only publish path; diyProceduralAllowed=GREEN only),false,none — safety-gated; content gaps noted but not remediable into eligibility without inventing safety permit,blocked,en_words_39|ar_words_81,draft,draft
diy-shell-ac-water-leakage-repair,DIY,RED,RED safety gate — never force public,false,none — safety prohibited,blocked,en_words_43|ar_words_81,draft,draft
diy-shell-apartment-maintenance,DIY,YELLOW,YELLOW safety — existing system does not explicitly permit automatic public DIY publication (GREEN-only publish path; diyProceduralAllowed=GREEN only),false,none — safety-gated; content gaps noted but not remediable into eligibility without inventing safety permit,blocked,en_words_39|ar_words_81,draft,draft
diy-shell-apartment-painting,DIY,YELLOW,YELLOW safety — existing system does not explicitly permit automatic public DIY publication (GREEN-only publish path; diyProceduralAllowed=GREEN only),false,none — safety-gated; content gaps noted but not remediable into eligibility without inventing safety permit,blocked,en_words_39|ar_words_81,draft,draft
diy-shell-building-common-area-cleaning,DIY,YELLOW,YELLOW safety — existing system does not explicitly permit automatic public DIY publication (GREEN-only publish path; diyProceduralAllowed=GREEN only),false,none — safety-gated; content gaps noted but not remediable into eligibility without inventing safety permit,blocked,en_words_43|ar_words_81,draft,draft
diy-shell-building-maintenance,DIY,YELLOW,YELLOW safety — existing system does not explicitly permit automatic public DIY publication (GREEN-only publish path; diyProceduralAllowed=GREEN only),false,none — safety-gated; content gaps noted but not remediable into eligibility without inventing safety permit,blocked,en_words_41|ar_words_81,draft,draft
diy-shell-cabinet-and-hardware-repair,DIY,YELLOW,YELLOW safety — existing system does not explicitly permit automatic public DIY publication (GREEN-only publish path; diyProceduralAllowed=GREEN only),false,none — safety-gated; content gaps noted but not remediable into eligibility without inventing safety permit,blocked,en_words_43|ar_words_81,draft,draft
diy-shell-carpet-cleaning,DIY,YELLOW,YELLOW safety — existing system does not explicitly permit automatic public DIY publication (GREEN-only publish path; diyProceduralAllowed=GREEN only),false,none — safety-gated; content gaps noted but not remediable into eligibility without inventing safety permit,blocked,en_words_39|ar_words_81,draft,draft
diy-shell-ceiling-painting,DIY,YELLOW,YELLOW safety — existing system does not explicitly permit automatic public DIY publication (GREEN-only publish path; diyProceduralAllowed=GREEN only),false,none — safety-gated; content gaps noted but not remediable into eligibility without inventing safety permit,blocked,en_words_39|ar_words_81,draft,draft
diy-shell-central-ac-maintenance,DIY,RED,RED safety gate — never force public,false,none — safety prohibited,blocked,en_words_41|ar_words_81,draft,draft
diy-shell-circuit-breaker-inspection,DIY,RED,RED safety gate — never force public,false,none — safety prohibited,blocked,en_words_41|ar_words_81,draft,draft
diy-shell-circuit-breaker-replacement,DIY,RED,RED safety gate — never force public,false,none — safety prohibited,blocked,en_words_41|ar_words_81,draft,draft
diy-shell-commercial-building-maintenance,DIY,YELLOW,YELLOW safety — existing system does not explicitly permit automatic public DIY publication (GREEN-only publish path; diyProceduralAllowed=GREEN only),false,none — safety-gated; content gaps noted but not remediable into eligibility without inventing safety permit,blocked,en_words_41|ar_words_81,draft,draft
diy-shell-commercial-painting,DIY,YELLOW,YELLOW safety — existing system does not explicitly permit automatic public DIY publication (GREEN-only publish path; diyProceduralAllowed=GREEN only),false,none — safety-gated; content gaps noted but not remediable into eligibility without inventing safety permit,blocked,en_words_39|ar_words_81,draft,draft
diy-shell-commercial-water-tank-cleaning,DIY,RED,RED safety gate — never force public,false,none — safety prohibited,blocked,en_words_43|ar_words_81,draft,draft
diy-shell-common-area-maintenance,DIY,REVIEW_REQUIRED,REVIEW_REQUIRED — required human safety review not completed; cannot invent approval,false,none — REVIEW_REQUIRED not bypassed,blocked,en_words_41|ar_words_81,draft,draft
diy-shell-cooker-igniter-repair,DIY,RED,RED safety gate — never force public,false,none — safety prohibited,blocked,en_words_41|ar_words_81,draft,draft
diy-shell-cooker-knob-replacement,DIY,YELLOW,YELLOW safety — existing system does not explicitly permit automatic public DIY publication (GREEN-only publish path; diyProceduralAllowed=GREEN only),false,none — safety-gated; content gaps noted but not remediable into eligibility without inventing safety permit,blocked,en_words_41|ar_words_81,draft,draft
diy-shell-corrective-building-maintenance,DIY,YELLOW,YELLOW safety — existing system does not explicitly permit automatic public DIY publication (GREEN-only publish path; diyProceduralAllowed=GREEN only),false,none — safety-gated; content gaps noted but not remediable into eligibility without inventing safety permit,blocked,en_words_41|ar_words_81,draft,draft
diy-shell-cross-trainer-maintenance,DIY,REVIEW_REQUIRED,REVIEW_REQUIRED — required human safety review not completed; cannot invent approval,false,none — REVIEW_REQUIRED not bypassed,blocked,en_words_39|ar_words_81,draft,draft
diy-shell-damp-wall-repair,DIY,RED,RED safety gate — never force public,false,none — safety prohibited,blocked,en_words_41|ar_words_81,draft,draft
diy-shell-decorative-painting,DIY,YELLOW,YELLOW safety — existing system does not explicitly permit automatic public DIY publication (GREEN-only publish path; diyProceduralAllowed=GREEN only),false,none — safety-gated; content gaps noted but not remediable into eligibility without inventing safety permit,blocked,en_words_39|ar_words_81,draft,draft
diy-shell-deep-cleaning,DIY,YELLOW,YELLOW safety — existing system does not explicitly permit automatic public DIY publication (GREEN-only publish path; diyProceduralAllowed=GREEN only),false,none — safety-gated; content gaps noted but not remediable into eligibility without inventing safety permit,blocked,en_words_39|ar_words_81,draft,draft
diy-shell-dishwasher-control-panel-diagnosis,DIY,RED,RED safety gate — never force public,false,none — safety prohibited,blocked,en_words_43|ar_words_81,draft,draft
diy-shell-dishwasher-door-lock-repair,DIY,YELLOW,YELLOW safety — existing system does not explicitly permit automatic public DIY publication (GREEN-only publish path; diyProceduralAllowed=GREEN only),false,none — safety-gated; content gaps noted but not remediable into eligibility without inventing safety permit,blocked,en_words_43|ar_words_81,draft,draft
diy-shell-dishwasher-door-seal-replacement,DIY,YELLOW,YELLOW safety — existing system does not explicitly permit automatic public DIY publication (GREEN-only publish path; diyProceduralAllowed=GREEN only),false,none — safety-gated; content gaps noted but not remediable into eligibility without inventing safety permit,blocked,en_words_43|ar_words_81,draft,draft
diy-shell-dishwasher-drainage-problem,DIY,YELLOW,YELLOW safety — existing system does not explicitly permit automatic public DIY publication (GREEN-only publish path; diyProceduralAllowed=GREEN only),false,none — safety-gated; content gaps noted but not remediable into eligibility without inventing safety permit,blocked,en_words_41|ar_words_81,draft,draft
diy-shell-dishwasher-heating-problem,DIY,RED,RED safety gate — never force public,false,none — safety prohibited,blocked,en_words_41|ar_words_81,draft,draft
diy-shell-dishwasher-inspection,DIY,YELLOW,YELLOW safety — existing system does not explicitly permit automatic public DIY publication (GREEN-only publish path; diyProceduralAllowed=GREEN only),false,none — safety-gated; content gaps noted but not remediable into eligibility without inventing safety permit,blocked,en_words_39|ar_words_81,draft,draft
diy-shell-dishwasher-not-cleaning-properly,DIY,YELLOW,YELLOW safety — existing system does not explicitly permit automatic public DIY publication (GREEN-only publish path; diyProceduralAllowed=GREEN only),false,none — safety-gated; content gaps noted but not remediable into eligibility without inventing safety permit,blocked,en_words_43|ar_words_81,draft,draft
diy-shell-dishwasher-not-starting,DIY,YELLOW,YELLOW safety — existing system does not explicitly permit automatic public DIY publication (GREEN-only publish path; diyProceduralAllowed=GREEN only),false,none — safety-gated; content gaps noted but not remediable into eligibility without inventing safety permit,blocked,en_words_41|ar_words_81,draft,draft
diy-shell-dishwasher-poor-drying,DIY,YELLOW,YELLOW safety — existing system does not explicitly permit automatic public DIY publication (GREEN-only publish path; diyProceduralAllowed=GREEN only),false,none — safety-gated; content gaps noted but not remediable into eligibility without inventing safety permit,blocked,en_words_41|ar_words_81,draft,draft
diy-shell-dishwasher-preventive-maintenance,DIY,YELLOW,YELLOW safety — existing system does not explicitly permit automatic public DIY publication (GREEN-only publish path; diyProceduralAllowed=GREEN only),false,none — safety-gated; content gaps noted but not remediable into eligibility without inventing safety permit,blocked,en_words_41|ar_words_81,draft,draft
diy-shell-dishwasher-pump-inspection,DIY,RED,RED safety gate — never force public,false,none — safety prohibited,blocked,en_words_41|ar_words_81,draft,draft
diy-shell-dishwasher-water-filling-problem,DIY,YELLOW,YELLOW safety — existing system does not explicitly permit automatic public DIY publication (GREEN-only publish path; diyProceduralAllowed=GREEN only),false,none — safety-gated; content gaps noted but not remediable into eligibility without inventing safety permit,blocked,en_words_43|ar_words_81,draft,draft
diy-shell-dishwasher-water-leakage,DIY,YELLOW,YELLOW safety — existing system does not explicitly permit automatic public DIY publication (GREEN-only publish path; diyProceduralAllowed=GREEN only),false,none — safety-gated; content gaps noted but not remediable into eligibility without inventing safety permit,blocked,en_words_41|ar_words_81,draft,draft
diy-shell-distribution-board-inspection,DIY,RED,RED safety gate — never force public,false,none — safety prohibited,blocked,en_words_41|ar_words_81,draft,draft
diy-shell-door-hardware-replacement,DIY,YELLOW,YELLOW safety — existing system does not explicitly permit automatic public DIY publication (GREEN-only publish path; diyProceduralAllowed=GREEN only),false,none — safety-gated; content gaps noted but not remediable into eligibility without inventing safety permit,blocked,en_words_41|ar_words_81,draft,draft
diy-shell-door-painting,DIY,YELLOW,YELLOW safety — existing system does not explicitly permit automatic public DIY publication (GREEN-only publish path; diyProceduralAllowed=GREEN only),false,none — safety-gated; content gaps noted but not remediable into eligibility without inventing safety permit,blocked,en_words_39|ar_words_81,draft,draft
diy-shell-door-repair-and-adjustment,DIY,YELLOW,YELLOW safety — existing system does not explicitly permit automatic public DIY publication (GREEN-only publish path; diyProceduralAllowed=GREEN only),false,none — safety-gated; content gaps noted but not remediable into eligibility without inventing safety permit,blocked,en_words_43|ar_words_81,draft,draft
diy-shell-drain-blockage-removal,DIY,YELLOW,YELLOW safety — existing system does not explicitly permit automatic public DIY publication (GREEN-only publish path; diyProceduralAllowed=GREEN only),false,none — safety-gated; content gaps noted but not remediable into eligibility without inventing safety permit,blocked,en_words_41|ar_words_81,draft,draft
diy-shell-drain-cleaning,DIY,YELLOW,YELLOW safety — existing system does not explicitly permit automatic public DIY publication (GREEN-only publish path; diyProceduralAllowed=GREEN only),false,none — safety-gated; content gaps noted but not remediable into eligibility without inventing safety permit,blocked,en_words_39|ar_words_81,draft,draft
diy-shell-ducted-ac-maintenance,DIY,RED,RED safety gate — never force public,false,none — safety prohibited,blocked,en_words_41|ar_words_81,draft,draft
diy-shell-electric-cooker-repair,DIY,REVIEW_REQUIRED,REVIEW_REQUIRED — required human safety review not completed; cannot invent approval,false,none — REVIEW_REQUIRED not bypassed,blocked,en_words_41|ar_words_81,draft,draft
diy-shell-electrical-fault-finding,DIY,RED,RED safety gate — never force public,false,none — safety prohibited,blocked,en_words_41|ar_words_81,draft,draft
diy-shell-electrical-inspection,DIY,RED,RED safety gate — never force public,false,none — safety prohibited,blocked,en_words_39|ar_words_81,draft,draft
diy-shell-electrical-maintenance,DIY,RED,RED safety gate — never force public,false,none — safety prohibited,blocked,en_words_39|ar_words_81,draft,draft
diy-shell-emergency-water-heater-repair,DIY,RED,RED safety gate — never force public,false,none — safety prohibited,blocked,en_words_43|ar_words_81,draft,draft
diy-shell-exercise-bike-maintenance,DIY,REVIEW_REQUIRED,REVIEW_REQUIRED — required human safety review not completed; cannot invent approval,false,none — REVIEW_REQUIRED not bypassed,blocked,en_words_41|ar_words_81,draft,draft
diy-shell-exterior-painting,DIY,YELLOW,YELLOW safety — existing system does not explicitly permit automatic public DIY publication (GREEN-only publish path; diyProceduralAllowed=GREEN only),false,none — safety-gated; content gaps noted but not remediable into eligibility without inventing safety permit,blocked,en_words_39|ar_words_81,draft,draft
diy-shell-fitness-equipment-inspection,DIY,REVIEW_REQUIRED,REVIEW_REQUIRED — required human safety review not completed; cannot invent approval,false,none — REVIEW_REQUIRED not bypassed,blocked,en_words_41|ar_words_81,draft,draft
diy-shell-fixture-replacement,DIY,REVIEW_REQUIRED,REVIEW_REQUIRED — required human safety review not completed; cannot invent approval,false,none — REVIEW_REQUIRED not bypassed,blocked,en_words_39|ar_words_81,draft,draft
diy-shell-float-valve-repair,DIY,RED,RED safety gate — never force public,false,none — safety prohibited,blocked,en_words_41|ar_words_81,draft,draft
diy-shell-floor-drain-repair,DIY,YELLOW,YELLOW safety — existing system does not explicitly permit automatic public DIY publication (GREEN-only publish path; diyProceduralAllowed=GREEN only),false,none — safety-gated; content gaps noted but not remediable into eligibility without inventing safety permit,blocked,en_words_41|ar_words_81,draft,draft
diy-shell-gas-burner-cleaning,DIY,YELLOW,YELLOW safety — existing system does not explicitly permit automatic public DIY publication (GREEN-only publish path; diyProceduralAllowed=GREEN only),false,none — safety-gated; content gaps noted but not remediable into eligibility without inventing safety permit,blocked,en_words_41|ar_words_81,draft,draft
diy-shell-gas-burner-repair,DIY,RED,RED safety gate — never force public,false,none — safety prohibited,blocked,en_words_41|ar_words_81,draft,draft
diy-shell-gas-burner-replacement,DIY,RED,RED safety gate — never force public,false,none — safety prohibited,blocked,en_words_41|ar_words_81,draft,draft
diy-shell-gas-cooker-cleaning,DIY,YELLOW,YELLOW safety — existing system does not explicitly permit automatic public DIY publication (GREEN-only publish path; diyProceduralAllowed=GREEN only),false,none — safety-gated; content gaps noted but not remediable into eligibility without inventing safety permit,blocked,en_words_41|ar_words_81,draft,draft
diy-shell-gas-cooker-ignition-repair,DIY,RED,RED safety gate — never force public,false,none — safety prohibited,blocked,en_words_43|ar_words_81,draft,draft
diy-shell-gas-cooker-inspection,DIY,RED,RED safety gate — never force public,false,none — safety prohibited,blocked,en_words_41|ar_words_81,draft,draft
diy-shell-gas-flame-problem-diagnosis,DIY,RED,RED safety gate — never force public,false,none — safety prohibited,blocked,en_words_43|ar_words_81,draft,draft
diy-shell-gas-hose-inspection,DIY,RED,RED safety gate — never force public,false,none — safety prohibited,blocked,en_words_41|ar_words_81,draft,draft
diy-shell-gas-hose-replacement,DIY,RED,RED safety gate — never force public,false,none — safety prohibited,blocked,en_words_41|ar_words_81,draft,draft
diy-shell-gas-leakage-inspection,DIY,RED,RED safety gate — never force public,false,none — safety prohibited,blocked,en_words_41|ar_words_81,draft,draft
diy-shell-gas-oven-inspection,DIY,RED,RED safety gate — never force public,false,none — safety prohibited,blocked,en_words_41|ar_words_81,draft,draft
diy-shell-gas-valve-inspection,DIY,RED,RED safety gate — never force public,false,none — safety prohibited,blocked,en_words_41|ar_words_81,draft,draft
diy-shell-gas-valve-replacement,DIY,RED,RED safety gate — never force public,false,none — safety prohibited,blocked,en_words_41|ar_words_81,draft,draft
diy-shell-general-handyman-service,DIY,YELLOW,YELLOW safety — existing system does not explicitly permit automatic public DIY publication (GREEN-only publish path; diyProceduralAllowed=GREEN only),false,none — safety-gated; content gaps noted but not remediable into eligibility without inventing safety permit,blocked,en_words_41|ar_words_81,draft,draft
diy-shell-general-property-repair,DIY,YELLOW,YELLOW safety — existing system does not explicitly permit automatic public DIY publication (GREEN-only publish path; diyProceduralAllowed=GREEN only),false,none — safety-gated; content gaps noted but not remediable into eligibility without inventing safety permit,blocked,en_words_41|ar_words_81,draft,draft
diy-shell-glass-cleaning,DIY,YELLOW,YELLOW safety — existing system does not explicitly permit automatic public DIY publication (GREEN-only publish path; diyProceduralAllowed=GREEN only),false,none — safety-gated; content gaps noted but not remediable into eligibility without inventing safety permit,blocked,en_words_39|ar_words_81,draft,draft
diy-shell-glass-hob-maintenance,DIY,YELLOW,YELLOW safety — existing system does not explicitly permit automatic public DIY publication (GREEN-only publish path; diyProceduralAllowed=GREEN only),false,none — safety-gated; content gaps noted but not remediable into eligibility without inventing safety permit,blocked,en_words_41|ar_words_81,draft,draft
diy-shell-gym-cleaning-maintenance,DIY,YELLOW,YELLOW safety — existing system does not explicitly permit automatic public DIY publication (GREEN-only publish path; diyProceduralAllowed=GREEN only),false,none — safety-gated; content gaps noted but not remediable into eligibility without inventing safety permit,blocked,en_words_43|ar_words_81,draft,draft
diy-shell-gym-disinfection,DIY,REVIEW_REQUIRED,REVIEW_REQUIRED — required human safety review not completed; cannot invent approval,false,none — REVIEW_REQUIRED not bypassed,blocked,en_words_39|ar_words_81,draft,draft
diy-shell-gym-sanitization,DIY,REVIEW_REQUIRED,REVIEW_REQUIRED — required human safety review not completed; cannot invent approval,false,none — REVIEW_REQUIRED not bypassed,blocked,en_words_39|ar_words_81,draft,draft
diy-shell-gypsum-wall-repair,DIY,YELLOW,YELLOW safety — existing system does not explicitly permit automatic public DIY publication (GREEN-only publish path; diyProceduralAllowed=GREEN only),false,none — safety-gated; content gaps noted but not remediable into eligibility without inventing safety permit,blocked,en_words_41|ar_words_81,draft,draft
