num,parentCategory,serviceOffering,serviceSlug,kind,diyStatus,riskLevel,guidanceType,primaryDiyGuide,existingGuide,existingGuideStatus,safetyReview,arabicReview,professionalFallback,reason,primaryGuideLogic,ambiguous
142,"Wall Maintenance & Repair","Gypsum Wall Repair","gypsum-wall-repair",child,YELLOW,yellow,limited-troubleshooting,"TBD",no,none,required,required,required,"Surface repair possible at small scale after review; structural = stop",C,no
143,"Wall Maintenance & Repair","Partition Wall Repair","partition-wall-repair",child,RED,red,professional-recommended,"TBD",no,none,required,required,required,"Moisture/mold treatment methods or partition work — professional until reviewed",C,no
144,"Swimming Pool Cleaning & Maintenance","Swimming Pool Inspection","swimming-pool-inspection",child,GREEN,green,step-by-step,"TBD",no,none,required,required,optional,"Surface cleaning / visual — GREEN candidate after review",C,no
145,"Swimming Pool Cleaning & Maintenance","Swimming Pool Cleaning","swimming-pool-cleaning",child,GREEN,green,step-by-step,"TBD",no,none,required,required,optional,"Surface cleaning / visual — GREEN candidate after review",C,no
146,"Swimming Pool Cleaning & Maintenance","Pool Vacuum Cleaning","pool-vacuum-cleaning",child,GREEN,green,step-by-step,"TBD",no,none,required,required,optional,"Surface cleaning / visual — GREEN candidate after review",C,no
147,"Swimming Pool Cleaning & Maintenance","Pool Skimming","pool-skimming",child,GREEN,green,step-by-step,"TBD",no,none,required,required,optional,"Surface cleaning / visual — GREEN candidate after review",C,no
148,"Swimming Pool Cleaning & Maintenance","Pool Water Testing","pool-water-testing",child,REVIEW_REQUIRED,review_required,review-required,"TBD",no,none,required,required,required,"Chemistry/filter dosing or method insufficient without human review",D,yes
149,"Swimming Pool Cleaning & Maintenance","Pool Chemical Balancing","pool-chemical-balancing",child,REVIEW_REQUIRED,review_required,review-required,"TBD",no,none,required,required,required,"Hazardous chemical dosing — do not invent doses; human safety+AR review",D,yes
150,"Swimming Pool Cleaning & Maintenance","Pool Filter Cleaning","pool-filter-cleaning",child,REVIEW_REQUIRED,review_required,review-required,"TBD",no,none,required,required,required,"Chemistry/filter dosing or method insufficient without human review",D,yes
151,"Swimming Pool Cleaning & Maintenance","Pool Filter Maintenance","pool-filter-maintenance",child,REVIEW_REQUIRED,review_required,review-required,"TBD",no,none,required,required,required,"Chemistry/filter dosing or method insufficient without human review",D,yes
152,"Swimming Pool Cleaning & Maintenance","Pool Pump Inspection","pool-pump-inspection",child,RED,red,professional-recommended,"TBD",no,none,required,required,required,"Pump electrical / structural leak / equipment room — professional",C,no
153,"Swimming Pool Cleaning & Maintenance","Pool Pump Maintenance","pool-pump-maintenance",child,RED,red,professional-recommended,"TBD",no,none,required,required,required,"Pump electrical / structural leak / equipment room — professional",C,no
154,"Swimming Pool Cleaning & Maintenance","Pool Tile Cleaning","pool-tile-cleaning",child,GREEN,green,step-by-step,"TBD",no,none,required,required,optional,"Surface cleaning / visual — GREEN candidate after review",C,no
155,"Swimming Pool Cleaning & Maintenance","Pool Drain Cleaning","pool-drain-cleaning",child,REVIEW_REQUIRED,review_required,review-required,"TBD",no,none,required,required,required,"Chemistry/filter dosing or method insufficient without human review",D,yes
156,"Swimming Pool Cleaning & Maintenance","Pool Equipment Inspection","pool-equipment-inspection",child,RED,red,professional-recommended,"TBD",no,none,required,required,required,"Pump electrical / structural leak / equipment room — professional",C,no
157,"Swimming Pool Cleaning & Maintenance","Pool Leak Inspection","pool-leak-inspection",child,RED,red,professional-recommended,"TBD",no,none,required,required,required,"Pump electrical / structural leak / equipment room — professional",C,no
158,"Swimming Pool Cleaning & Maintenance","Residential Pool Maintenance","residential-pool-maintenance",child,YELLOW,yellow,limited-troubleshooting,"TBD",no,none,required,required,required,"Pool maintenance default YELLOW",C,no
159,"Sauna Room Cleaning & Maintenance","Sauna Inspection","sauna-inspection",child,YELLOW,yellow,limited-troubleshooting,"TBD",no,none,required,required,required,"Sauna default YELLOW",C,no
160,"Sauna Room Cleaning & Maintenance","Sauna Deep Cleaning","sauna-deep-cleaning",child,GREEN,green,step-by-step,"TBD",no,none,required,required,optional,"Surface cleaning GREEN candidate",C,no
161,"Sauna Room Cleaning & Maintenance","Sauna Regular Cleaning","sauna-regular-cleaning",child,GREEN,green,step-by-step,"TBD",no,none,required,required,optional,"Surface cleaning GREEN candidate",C,no
162,"Sauna Room Cleaning & Maintenance","Sauna Disinfection","sauna-disinfection",child,REVIEW_REQUIRED,review_required,review-required,"TBD",no,none,required,required,required,"Disinfection chemistry — no invented doses",D,yes
163,"Sauna Room Cleaning & Maintenance","Sauna Bench Cleaning","sauna-bench-cleaning",child,GREEN,green,step-by-step,"TBD",no,none,required,required,optional,"Surface cleaning GREEN candidate",C,no
164,"Sauna Room Cleaning & Maintenance","Sauna Floor Cleaning","sauna-floor-cleaning",child,GREEN,green,step-by-step,"TBD",no,none,required,required,optional,"Surface cleaning GREEN candidate",C,no
165,"Sauna Room Cleaning & Maintenance","Sauna Wall Cleaning","sauna-wall-cleaning",child,GREEN,green,step-by-step,"TBD",no,none,required,required,optional,"Surface cleaning GREEN candidate",C,no
166,"Sauna Room Cleaning & Maintenance","Sauna Glass Cleaning","sauna-glass-cleaning",child,GREEN,green,step-by-step,"TBD",no,none,required,required,optional,"Surface cleaning GREEN candidate",C,no
167,"Sauna Room Cleaning & Maintenance","Sauna Heater Inspection","sauna-heater-inspection",child,RED,red,professional-recommended,"TBD",no,none,required,required,required,"Heater/ventilation — electrical/gas/air — professional",C,no
168,"Sauna Room Cleaning & Maintenance","Sauna Heater Maintenance","sauna-heater-maintenance",child,RED,red,professional-recommended,"TBD",no,none,required,required,required,"Heater/ventilation — electrical/gas/air — professional",C,no
169,"Sauna Room Cleaning & Maintenance","Sauna Ventilation Inspection","sauna-ventilation-inspection",child,RED,red,professional-recommended,"TBD",no,none,required,required,required,"Heater/ventilation — electrical/gas/air — professional",C,no
170,"Sauna Room Cleaning & Maintenance","Sauna Door Maintenance","sauna-door-maintenance",child,GREEN,green,step-by-step,"TBD",no,none,required,required,optional,"Surface cleaning GREEN candidate",C,no
171,"Sauna Room Cleaning & Maintenance","Sauna Wood Treatment","sauna-wood-treatment",child,REVIEW_REQUIRED,review_required,review-required,"TBD",no,none,required,required,required,"Treatment method needs human review",D,yes
172,"Sauna Room Cleaning & Maintenance","Sauna Equipment Inspection","sauna-equipment-inspection",child,REVIEW_REQUIRED,review_required,review-required,"TBD",no,none,required,required,required,"Treatment method needs human review",D,yes
173,"Water Tank Cleaning & Maintenance","Water Tank Inspection","water-tank-inspection",child,YELLOW,yellow,safety-only,"TBD",no,none,required,required,required,"Exterior visual / lid check; rooftop = height hazard",C,no
174,"Water Tank Cleaning & Maintenance","Water Tank Cleaning","water-tank-cleaning-service",child,RED,red,professional-recommended,"TBD",no,none,required,required,required,"Tank cleaning typically confined-space / contamination control — professional default",C,no
175,"Water Tank Cleaning & Maintenance","Water Tank Disinfection","water-tank-disinfection",child,REVIEW_REQUIRED,review_required,review-required,"TBD",no,none,required,required,required,"Hazardous chemical dosing — do not invent doses; human safety+AR review",D,yes
176,"Water Tank Cleaning & Maintenance","Water Tank Sanitization","water-tank-sanitization",child,REVIEW_REQUIRED,review_required,review-required,"TBD",no,none,required,required,required,"Hazardous chemical dosing — do not invent doses; human safety+AR review",D,yes
177,"Water Tank Cleaning & Maintenance","Water Tank Leak Inspection","water-tank-leak-inspection",child,RED,red,professional-recommended,"TBD",no,none,required,required,required,"Tank mechanical/leak repair — professional",C,no
178,"Water Tank Cleaning & Maintenance","Water Tank Cover Repair","water-tank-cover-repair",child,RED,red,professional-recommended,"TBD",no,none,required,required,required,"Tank mechanical/leak repair — professional",C,no
179,"Water Tank Cleaning & Maintenance","Water Tank Valve Repair","water-tank-valve-repair",child,RED,red,professional-recommended,"TBD",no,none,required,required,required,"Tank mechanical/leak repair — professional",C,no
180,"Water Tank Cleaning & Maintenance","Tank Pipe Connection Repair","tank-pipe-connection-repair",child,RED,red,professional-recommended,"TBD",no,none,required,required,required,"Tank mechanical/leak repair — professional",C,no
181,"Water Tank Cleaning & Maintenance","Tank Overflow Repair","tank-overflow-repair",child,RED,red,professional-recommended,"TBD",no,none,required,required,required,"Tank mechanical/leak repair — professional",C,no
182,"Water Tank Cleaning & Maintenance","Float Valve Repair","float-valve-repair",child,RED,red,professional-recommended,"TBD",no,none,required,required,required,"Tank mechanical/leak repair — professional",C,no
183,"Water Tank Cleaning & Maintenance","Residential Water Tank Cleaning","residential-water-tank-cleaning",child,RED,red,professional-recommended,"TBD",no,none,required,required,required,"Tank cleaning typically confined-space / contamination control — professional default",C,no
184,"Water Tank Cleaning & Maintenance","Villa Water Tank Cleaning","villa-water-tank-cleaning",child,RED,red,professional-recommended,"TBD",no,none,required,required,required,"Tank cleaning typically confined-space / contamination control — professional default",C,no
185,"Water Tank Cleaning & Maintenance","Commercial Water Tank Cleaning","commercial-water-tank-cleaning",child,RED,red,professional-recommended,"TBD",no,none,required,required,required,"Tank cleaning typically confined-space / contamination control — professional default",C,no
186,"Water Tank Cleaning & Maintenance","Underground Water Tank Cleaning","underground-water-tank-cleaning",child,RED,red,professional-recommended,"TBD",no,none,required,required,required,"Underground/confined tank entry — professional protocol required",C,no
187,"Water Tank Cleaning & Maintenance","Rooftop Water Tank Cleaning","rooftop-water-tank-cleaning",child,RED,red,professional-recommended,"TBD",no,none,required,required,required,"Rooftop/height + tank work — non-negotiable RED; professional only",C,no
188,"Water Tank Cleaning & Maintenance","Scheduled Water Tank Maintenance","scheduled-water-tank-maintenance",child,RED,red,professional-recommended,"TBD",no,none,required,required,required,"Tank cleaning typically confined-space / contamination control — professional default",C,no
189,"Refrigerator Maintenance / Repair","Refrigerator Inspection","refrigerator-inspection",child,GREEN,green,limited-troubleshooting,"TBD",no,none,required,required,optional,"User-accessible cleaning/seal/visual",C,no
190,"Refrigerator Maintenance / Repair","Refrigerator Cooling Problem","refrigerator-cooling-problem",child,RED,red,professional-recommended,"TBD",no,none,required,required,required,"Internal appliance repair — professional-recommended",C,no
191,"Refrigerator Maintenance / Repair","Refrigerator Freezing Problem","refrigerator-freezing-problem",child,RED,red,professional-recommended,"TBD",no,none,required,required,required,"Internal appliance repair — professional-recommended",C,no
192,"Refrigerator Maintenance / Repair","Refrigerator Water Leakage","refrigerator-water-leakage",child,RED,red,professional-recommended,"TBD",no,none,required,required,required,"Internal appliance repair — professional-recommended",C,no
193,"Refrigerator Maintenance / Repair","Refrigerator Ice Formation Problem","refrigerator-ice-formation-problem",child,RED,red,professional-recommended,"TBD",no,none,required,required,required,"Internal appliance repair — professional-recommended",C,no
194,"Refrigerator Maintenance / Repair","Refrigerator Thermostat Inspection","refrigerator-thermostat-inspection",child,GREEN,green,limited-troubleshooting,"TBD",no,none,required,required,optional,"User-accessible cleaning/seal/visual",C,no
195,"Refrigerator Maintenance / Repair","Refrigerator Compressor Inspection","refrigerator-compressor-inspection",child,RED,red,professional-recommended,"TBD",no,none,required,required,required,"Sealed-system / compressor / live electrical — professional only",C,no
196,"Refrigerator Maintenance / Repair","Refrigerator Compressor Replacement","refrigerator-compressor-replacement",child,RED,red,professional-recommended,"TBD",no,none,required,required,required,"Sealed-system / compressor / live electrical — professional only",C,no
197,"Refrigerator Maintenance / Repair","Refrigerator Fan Motor Repair","refrigerator-fan-motor-repair",child,RED,red,professional-recommended,"TBD",no,none,required,required,required,"Internal appliance repair — professional-recommended",C,no
198,"Refrigerator Maintenance / Repair","Refrigerator Door Seal Replacement","refrigerator-door-seal-replacement",child,YELLOW,yellow,limited-troubleshooting,"TBD",no,none,required,required,optional,"User-accessible cleaning/seal/visual",C,no
199,"Refrigerator Maintenance / Repair","Refrigerator Door Hinge Repair","refrigerator-door-hinge-repair",child,YELLOW,yellow,limited-troubleshooting,"TBD",no,none,required,required,optional,"User-accessible cleaning/seal/visual",C,no
200,"Refrigerator Maintenance / Repair","Refrigerator Temperature Control Repair","refrigerator-temperature-control-repair",child,RED,red,professional-recommended,"TBD",no,none,required,required,required,"Internal appliance repair — professional-recommended",C,no
201,"Refrigerator Maintenance / Repair","Refrigerator Drain Blockage Repair","refrigerator-drain-blockage-repair",child,YELLOW,yellow,limited-troubleshooting,"TBD",no,none,required,required,required,"Drain observation — limited",C,no
202,"Refrigerator Maintenance / Repair","Refrigerator Electrical Fault Diagnosis","refrigerator-electrical-fault-diagnosis",child,RED,red,professional-recommended,"TBD",no,none,required,required,required,"Sealed-system / compressor / live electrical — professional only",C,no
203,"Refrigerator Maintenance / Repair","Refrigerator Cleaning","refrigerator-cleaning",child,GREEN,green,step-by-step,"TBD",no,none,required,required,optional,"User-accessible cleaning/seal/visual",C,no
204,"Microwave Maintenance / Repair","Microwave Inspection","microwave-inspection",child,GREEN,green,step-by-step,"TBD",no,none,required,required,optional,"Cool cavity cleaning / visual inspection only",C,no
205,"Microwave Maintenance / Repair","Microwave Heating Problem","microwave-heating-problem",child,RED,red,professional-recommended,"TBD",no,none,required,required,required,"Microwave HV/magnetron-adjacent internals — specialist safety review",C,no
206,"Microwave Maintenance / Repair","Microwave No-Power Diagnosis","microwave-no-power-diagnosis",child,RED,red,professional-recommended,"TBD",no,none,required,required,required,"Microwave HV/magnetron-adjacent internals — specialist safety review",C,no
207,"Microwave Maintenance / Repair","Microwave Spark Problem","microwave-spark-problem",child,RED,red,professional-recommended,"TBD",no,none,required,required,required,"Microwave HV/magnetron-adjacent internals — specialist safety review",C,no
208,"Microwave Maintenance / Repair","Microwave Turntable Problem","microwave-turntable-problem",child,REVIEW_REQUIRED,review_required,review-required,"TBD",no,none,required,required,required,"May be cosmetic or interlock-related — human confirm (HV risk)",D,yes
209,"Microwave Maintenance / Repair","Microwave Door Problem","microwave-door-problem",child,REVIEW_REQUIRED,review_required,review-required,"TBD",no,none,required,required,required,"May be cosmetic or interlock-related — human confirm (HV risk)",D,yes
210,"Microwave Maintenance / Repair","Microwave Door Switch Repair","microwave-door-switch-repair",child,RED,red,professional-recommended,"TBD",no,none,required,required,required,"Microwave HV/magnetron-adjacent internals — specialist safety review",C,no
211,"Microwave Maintenance / Repair","Microwave Fuse Replacement","microwave-fuse-replacement",child,RED,red,professional-recommended,"TBD",no,none,required,required,required,"Microwave HV/magnetron-adjacent internals — specialist safety review",C,no
212,"Microwave Maintenance / Repair","Microwave Control Panel Problem","microwave-control-panel-problem",child,RED,red,professional-recommended,"TBD",no,none,required,required,required,"Microwave HV/magnetron-adjacent internals — specialist safety review",C,no
213,"Microwave Maintenance / Repair","Microwave Display Problem","microwave-display-problem",child,RED,red,professional-recommended,"TBD",no,none,required,required,required,"Microwave HV/magnetron-adjacent internals — specialist safety review",C,yes
214,"Microwave Maintenance / Repair","Microwave Fan Problem","microwave-fan-problem",child,RED,red,professional-recommended,"TBD",no,none,required,required,required,"Microwave HV/magnetron-adjacent internals — specialist safety review",C,no
215,"Microwave Maintenance / Repair","Microwave Internal Cleaning","microwave-internal-cleaning",child,GREEN,green,step-by-step,"TBD",no,none,required,required,optional,"Cool cavity cleaning / visual inspection only",C,no
216,"Microwave Maintenance / Repair","Microwave Electrical Diagnosis","microwave-electrical-diagnosis",child,RED,red,professional-recommended,"TBD",no,none,required,required,required,"Microwave HV/magnetron-adjacent internals — specialist safety review",C,no
217,"Washing Machine Maintenance / Repair","Washing Machine Inspection","washing-machine-inspection",child,YELLOW,yellow,limited-troubleshooting,"TBD",no,none,required,required,required,"Symptom checks / leveling / hose visual — limited troubleshooting",C,no
218,"Washing Machine Maintenance / Repair","Washing Machine Not Starting","washing-machine-not-starting",child,YELLOW,yellow,limited-troubleshooting,"TBD",no,none,required,required,required,"Symptom checks / leveling / hose visual — limited troubleshooting",C,no
219,"Washing Machine Maintenance / Repair","Washing Machine Not Spinning","washing-machine-not-spinning",child,YELLOW,yellow,limited-troubleshooting,"TBD",no,none,required,required,required,"Symptom checks / leveling / hose visual — limited troubleshooting",C,no
220,"Washing Machine Maintenance / Repair","Washing Machine Water Filling Problem","washing-machine-water-filling-problem",child,YELLOW,yellow,limited-troubleshooting,"TBD",no,none,required,required,required,"Symptom checks / leveling / hose visual — limited troubleshooting",C,no
221,"Washing Machine Maintenance / Repair","Washing Machine Drainage Problem","washing-machine-drainage-problem",child,YELLOW,yellow,limited-troubleshooting,"TBD",no,none,required,required,required,"Symptom checks / leveling / hose visual — limited troubleshooting",C,no
222,"Washing Machine Maintenance / Repair","Washing Machine Water Leakage","washing-machine-water-leakage",child,YELLOW,yellow,limited-troubleshooting,"TBD",no,none,required,required,required,"Symptom checks / leveling / hose visual — limited troubleshooting",C,no
223,"Washing Machine Maintenance / Repair","Washing Machine Excessive Noise","washing-machine-excessive-noise",child,YELLOW,yellow,limited-troubleshooting,"TBD",no,none,required,required,required,"Symptom checks / leveling / hose visual — limited troubleshooting",C,no
224,"Washing Machine Maintenance / Repair","Washing Machine Vibration Problem","washing-machine-vibration-problem",child,YELLOW,yellow,limited-troubleshooting,"TBD",no,none,required,required,required,"Symptom checks / leveling / hose visual — limited troubleshooting",C,no
225,"Washing Machine Maintenance / Repair","Washing Machine Door Lock Problem","washing-machine-door-lock-problem",child,RED,red,professional-recommended,"TBD",no,none,required,required,required,"Internal mechanical/electrical repair — professional",C,no
226,"Washing Machine Maintenance / Repair","Washing Machine Drum Problem","washing-machine-drum-problem",child,RED,red,professional-recommended,"TBD",no,none,required,required,required,"Internal mechanical/electrical repair — professional",C,no
227,"Washing Machine Maintenance / Repair","Washing Machine Pump Repair","washing-machine-pump-repair",child,RED,red,professional-recommended,"TBD",no,none,required,required,required,"Internal mechanical/electrical repair — professional",C,no
228,"Washing Machine Maintenance / Repair","Washing Machine Motor Inspection","washing-machine-motor-inspection",child,YELLOW,yellow,limited-troubleshooting,"TBD",no,none,required,required,required,"Symptom checks / leveling / hose visual — limited troubleshooting",C,no
229,"Washing Machine Maintenance / Repair","Washing Machine Belt Replacement","washing-machine-belt-replacement",child,RED,red,professional-recommended,"TBD",no,none,required,required,required,"Internal mechanical/electrical repair — professional",C,no
230,"Washing Machine Maintenance / Repair","Washing Machine Control Board Diagnosis","washing-machine-control-board-diagnosis",child,RED,red,professional-recommended,"TBD",no,none,required,required,required,"Internal mechanical/electrical repair — professional",C,no
231,"Washing Machine Maintenance / Repair","Washing Machine Filter Cleaning","washing-machine-filter-cleaning",child,GREEN,green,step-by-step,"TBD",no,none,required,required,optional,"User-accessible filter clean",C,no
232,"Washing Machine Maintenance / Repair","Washing Machine Preventive Maintenance","washing-machine-preventive-maintenance",child,YELLOW,yellow,limited-troubleshooting,"TBD",no,none,required,required,required,"Symptom checks / leveling / hose visual — limited troubleshooting",C,no
233,"Water Heater Maintenance / Repair","Water Heater Inspection","water-heater-inspection",child,YELLOW,yellow,safety-only,"TBD",no,none,required,required,required,"Exterior/visual or scale awareness — no live element DIY",C,no
234,"Water Heater Maintenance / Repair","Water Heater No Hot Water","water-heater-no-hot-water",child,RED,red,professional-recommended,"TBD",no,none,required,required,required,"Pressurized/hot-water system repair — professional",C,no
235,"Water Heater Maintenance / Repair","Water Heater Slow Heating","water-heater-slow-heating",child,RED,red,professional-recommended,"TBD",no,none,required,required,required,"Pressurized/hot-water system repair — professional",C,no
236,"Water Heater Maintenance / Repair","Water Heater Temperature Problem","water-heater-temperature-problem",child,RED,red,professional-recommended,"TBD",no,none,required,required,required,"Pressurized/hot-water system repair — professional",C,no
237,"Water Heater Maintenance / Repair","Water Heater Thermostat Repair","water-heater-thermostat-repair",child,RED,red,professional-recommended,"TBD",no,none,required,required,required,"Water-heater electrical element/thermostat live work — specialist review",C,no
238,"Water Heater Maintenance / Repair","Water Heater Heating Element Replacement","water-heater-heating-element-replacement",child,RED,red,professional-recommended,"TBD",no,none,required,required,required,"Water-heater electrical element/thermostat live work — specialist review",C,no
239,"Water Heater Maintenance / Repair","Water Heater Water Leakage Repair","water-heater-water-leakage-repair",child,RED,red,professional-recommended,"TBD",no,none,required,required,required,"Pressurized/hot-water system repair — professional",C,no
240,"Water Heater Maintenance / Repair","Water Heater Pressure Problem","water-heater-pressure-problem",child,RED,red,professional-recommended,"TBD",no,none,required,required,required,"Pressurized/hot-water system repair — professional",C,no
241,"Water Heater Maintenance / Repair","Water Heater Tank Inspection","water-heater-tank-inspection",child,YELLOW,yellow,safety-only,"TBD",no,none,required,required,required,"Exterior/visual or scale awareness — no live element DIY",C,no
242,"Water Heater Maintenance / Repair","Water Heater Valve Replacement","water-heater-valve-replacement",child,RED,red,professional-recommended,"TBD",no,none,required,required,required,"Pressurized/hot-water system repair — professional",C,no
243,"Water Heater Maintenance / Repair","Water Heater Electrical Fault Diagnosis","water-heater-electrical-fault-diagnosis",child,RED,red,professional-recommended,"TBD",no,none,required,required,required,"Water-heater electrical element/thermostat live work — specialist review",C,no
244,"Water Heater Maintenance / Repair","Water Heater Cleaning","water-heater-cleaning",child,YELLOW,yellow,limited-troubleshooting,"TBD",no,none,required,required,required,"Exterior/visual or scale awareness — no live element DIY",C,no
245,"Water Heater Maintenance / Repair","Water Heater Scale Removal","water-heater-scale-removal",child,RED,red,professional-recommended,"TBD",no,none,required,required,required,"Pressurized/hot-water system repair — professional",C,no
246,"Water Heater Maintenance / Repair","Water Heater Preventive Maintenance","water-heater-preventive-maintenance",child,YELLOW,yellow,safety-only,"TBD",no,none,required,required,required,"Exterior/visual or scale awareness — no live element DIY",C,no
247,"Water Heater Maintenance / Repair","Emergency Water Heater Repair","emergency-water-heater-repair",child,RED,red,professional-recommended,"TBD",no,none,required,required,required,"Pressurized/hot-water system repair — professional",C,no
248,"Dishwasher Maintenance / Repair","Dishwasher Inspection","dishwasher-inspection",child,YELLOW,yellow,limited-troubleshooting,"TBD",no,none,required,required,required,"Symptom / hose / rack checks — limited",C,no
249,"Dishwasher Maintenance / Repair","Dishwasher Not Starting","dishwasher-not-starting",child,YELLOW,yellow,limited-troubleshooting,"TBD",no,none,required,required,required,"Symptom / hose / rack checks — limited",C,no
250,"Dishwasher Maintenance / Repair","Dishwasher Not Cleaning Properly","dishwasher-not-cleaning-properly",child,YELLOW,yellow,limited-troubleshooting,"TBD",no,none,required,required,required,"Symptom / hose / rack checks — limited",C,no
251,"Dishwasher Maintenance / Repair","Dishwasher Water Filling Problem","dishwasher-water-filling-problem",child,YELLOW,yellow,limited-troubleshooting,"TBD",no,none,required,required,required,"Symptom / hose / rack checks — limited",C,no
252,"Dishwasher Maintenance / Repair","Dishwasher Drainage Problem","dishwasher-drainage-problem",child,YELLOW,yellow,limited-troubleshooting,"TBD",no,none,required,required,required,"Symptom / hose / rack checks — limited",C,no
253,"Dishwasher Maintenance / Repair","Dishwasher Water Leakage","dishwasher-water-leakage",child,RED,red,professional-recommended,"TBD",no,none,required,required,required,"Internal repair — professional",C,no
254,"Dishwasher Maintenance / Repair","Dishwasher Poor Drying","dishwasher-poor-drying",child,YELLOW,yellow,limited-troubleshooting,"TBD",no,none,required,required,required,"Symptom / hose / rack checks — limited",C,no
255,"Dishwasher Maintenance / Repair","Dishwasher Spray Arm Cleaning","dishwasher-spray-arm-cleaning",child,GREEN,green,step-by-step,"TBD",no,none,required,required,optional,"User-accessible filter/spray-arm clean",C,no
256,"Dishwasher Maintenance / Repair","Dishwasher Filter Cleaning","dishwasher-filter-cleaning",child,GREEN,green,step-by-step,"TBD",no,none,required,required,optional,"User-accessible filter/spray-arm clean",C,no
257,"Dishwasher Maintenance / Repair","Dishwasher Pump Inspection","dishwasher-pump-inspection",child,YELLOW,yellow,limited-troubleshooting,"TBD",no,none,required,required,required,"Symptom / hose / rack checks — limited",C,no
258,"Dishwasher Maintenance / Repair","Dishwasher Door Seal Replacement","dishwasher-door-seal-replacement",child,RED,red,professional-recommended,"TBD",no,none,required,required,required,"Internal repair — professional",C,no
259,"Dishwasher Maintenance / Repair","Dishwasher Door Lock Repair","dishwasher-door-lock-repair",child,RED,red,professional-recommended,"TBD",no,none,required,required,required,"Internal repair — professional",C,no
260,"Dishwasher Maintenance / Repair","Dishwasher Heating Problem","dishwasher-heating-problem",child,RED,red,professional-recommended,"TBD",no,none,required,required,required,"Internal repair — professional",C,no
261,"Dishwasher Maintenance / Repair","Dishwasher Control Panel Diagnosis","dishwasher-control-panel-diagnosis",child,RED,red,professional-recommended,"TBD",no,none,required,required,required,"Internal repair — professional",C,no
262,"Dishwasher Maintenance / Repair","Dishwasher Preventive Maintenance","dishwasher-preventive-maintenance",child,YELLOW,yellow,limited-troubleshooting,"TBD",no,none,required,required,required,"Symptom / hose / rack checks — limited",C,no
263,"Gym Cleaning & Maintenance","Gym Deep Cleaning","gym-deep-cleaning",child,GREEN,green,step-by-step,"TBD",no,none,required,required,optional,"Gym surface cleaning GREEN candidate",C,no
264,"Gym Cleaning & Maintenance","Gym Regular Cleaning","gym-regular-cleaning",child,GREEN,green,step-by-step,"TBD",no,none,required,required,optional,"Gym surface cleaning GREEN candidate",C,no
265,"Gym Cleaning & Maintenance","Gym Equipment Cleaning","gym-equipment-cleaning",child,GREEN,green,step-by-step,"TBD",no,none,required,required,optional,"Gym surface cleaning GREEN candidate",C,no
266,"Gym Cleaning & Maintenance","Gym Floor Cleaning","gym-floor-cleaning",child,GREEN,green,step-by-step,"TBD",no,none,required,required,optional,"Gym surface cleaning GREEN candidate",C,no
267,"Gym Cleaning & Maintenance","Gym Glass Cleaning","gym-glass-cleaning",child,GREEN,green,step-by-step,"TBD",no,none,required,required,optional,"Gym surface cleaning GREEN candidate",C,no
268,"Gym Cleaning & Maintenance","Gym Sanitization","gym-sanitization",child,REVIEW_REQUIRED,review_required,review-required,"TBD",no,none,required,required,required,"Chemical protocol — REVIEW_REQUIRED",D,yes
269,"Gym Cleaning & Maintenance","Gym Disinfection","gym-disinfection",child,REVIEW_REQUIRED,review_required,review-required,"TBD",no,none,required,required,required,"Chemical protocol — REVIEW_REQUIRED",D,yes
270,"Gym Cleaning & Maintenance","Locker Cleaning","locker-cleaning",child,GREEN,green,step-by-step,"TBD",no,none,required,required,optional,"Gym surface cleaning GREEN candidate",C,no
271,"Gym Cleaning & Maintenance","Shower & Changing Room Cleaning","shower-and-changing-room-cleaning",child,GREEN,green,step-by-step,"TBD",no,none,required,required,optional,"Gym surface cleaning GREEN candidate",C,no
272,"Gym Cleaning & Maintenance","Fitness Equipment Inspection","fitness-equipment-inspection",child,REVIEW_REQUIRED,review_required,review-required,"TBD",no,none,required,required,required,"Fitness equipment internals — inspection/report only until human class",D,yes
273,"Gym Cleaning & Maintenance","Treadmill Maintenance","treadmill-maintenance",child,REVIEW_REQUIRED,review_required,review-required,"TBD",no,none,required,required,required,"Fitness equipment internals — inspection/report only until human class",D,yes
274,"Gym Cleaning & Maintenance","Exercise Bike Maintenance","exercise-bike-maintenance",child,REVIEW_REQUIRED,review_required,review-required,"TBD",no,none,required,required,required,"Fitness equipment internals — inspection/report only until human class",D,yes
275,"Gym Cleaning & Maintenance","Cross-Trainer Maintenance","cross-trainer-maintenance",child,REVIEW_REQUIRED,review_required,review-required,"TBD",no,none,required,required,required,"Fitness equipment internals — inspection/report only until human class",D,yes
276,"Gym Cleaning & Maintenance","Weight Equipment Maintenance","weight-equipment-maintenance",child,REVIEW_REQUIRED,review_required,review-required,"TBD",no,none,required,required,required,"Fitness equipment internals — inspection/report only until human class",D,yes
277,"Gym Cleaning & Maintenance","Preventive Gym Maintenance","preventive-gym-maintenance",child,REVIEW_REQUIRED,review_required,review-required,"TBD",no,none,required,required,required,"Fitness equipment internals — inspection/report only until human class",D,yes
278,"Oven Maintenance / Repair","Oven Inspection","oven-inspection",child,GREEN,green,step-by-step,"TBD",no,none,required,required,optional,"Cool oven cleaning / visual",C,no
279,"Oven Maintenance / Repair","Oven Not Heating","oven-not-heating",child,RED,red,professional-recommended,"TBD",no,none,required,required,required,"Heating fault diagnosis — professional",C,no
