#,Service,Service riskLevel,Service diyAvailable,Matrix status,Matrix risk,Existing guide,Conflict type,Class,Recommended action,Confidence,Proposed risk,Proposed diyAvailable,Public SL count
152,switch-replacement,yellow,false,RED,red,,upward_align_yellow_to_red,A_SAFE_ALIGNMENT,"set riskLevel=red; set diyAvailable=false",high,red,false,0
153,tank-overflow-repair,yellow,false,RED,red,,upward_align_yellow_to_red,A_SAFE_ALIGNMENT,"set riskLevel=red; set diyAvailable=false",high,red,false,0
154,tank-pipe-connection-repair,yellow,false,RED,red,,upward_align_yellow_to_red,A_SAFE_ALIGNMENT,"set riskLevel=red; set diyAvailable=false",high,red,false,0
155,toilet-installation,yellow,false,RED,red,,upward_align_yellow_to_red,A_SAFE_ALIGNMENT,"set riskLevel=red; set diyAvailable=false",high,red,false,0
156,touch-up-painting,yellow,false,GREEN,green,,service_stricter_than_matrix,E_NO_CHANGE_REQUIRED,"Keep service risk (stricter). Matrix still authoritative for display/eval via matrix loader; do not downgrade.",high,,,0
157,treadmill-maintenance,yellow,false,REVIEW_REQUIRED,review_required,,matrix_review_required_enum_gap,E_NO_CHANGE_REQUIRED,"No RiskLevel change (RR not in enum). Evaluator already treats matrix RR as authoritative.",high,,,0
158,underground-water-tank-cleaning,yellow,false,RED,red,,upward_align_yellow_to_red,A_SAFE_ALIGNMENT,"set riskLevel=red; set diyAvailable=false",high,red,false,0
159,uneven-flame-diagnosis,yellow,false,RED,red,,upward_align_yellow_to_red,A_SAFE_ALIGNMENT,"set riskLevel=red; set diyAvailable=false",high,red,false,0
160,villa-cleaning,yellow,false,GREEN,green,,service_stricter_than_matrix,E_NO_CHANGE_REQUIRED,"Keep service risk (stricter). Matrix still authoritative for display/eval via matrix loader; do not downgrade.",high,,,0
161,villa-water-tank-cleaning,yellow,false,RED,red,,upward_align_yellow_to_red,A_SAFE_ALIGNMENT,"set riskLevel=red; set diyAvailable=false",high,red,false,0
162,washing-machine,yellow,false,YELLOW,yellow,,missing_service_record,C_SAFETY_CRITICAL,"Create/repair service record — STOP",high,,,0
163,washing-machine-belt-replacement,yellow,false,RED,red,,upward_align_yellow_to_red,A_SAFE_ALIGNMENT,"set riskLevel=red; set diyAvailable=false",high,red,false,0
164,washing-machine-control-board-diagnosis,yellow,false,RED,red,,upward_align_yellow_to_red,A_SAFE_ALIGNMENT,"set riskLevel=red; set diyAvailable=false",high,red,false,0
165,washing-machine-drum-problem,yellow,false,RED,red,,upward_align_yellow_to_red,A_SAFE_ALIGNMENT,"set riskLevel=red; set diyAvailable=false",high,red,false,0
166,washing-machine-filter-cleaning,yellow,false,GREEN,green,,service_stricter_than_matrix,E_NO_CHANGE_REQUIRED,"Keep service risk (stricter). Matrix still authoritative for display/eval via matrix loader; do not downgrade.",high,,,0
167,washing-machine-motor-inspection,yellow,false,RED,red,,upward_align_yellow_to_red,A_SAFE_ALIGNMENT,"set riskLevel=red; set diyAvailable=false",high,red,false,0
168,washing-machine-pump-repair,yellow,false,RED,red,,upward_align_yellow_to_red,A_SAFE_ALIGNMENT,"set riskLevel=red; set diyAvailable=false",high,red,false,0
169,water-heater,yellow,false,YELLOW,yellow,,missing_service_record,C_SAFETY_CRITICAL,"Create/repair service record — STOP",high,,,0
170,water-heater-electrical-fault-diagnosis,yellow,false,RED,red,,upward_align_yellow_to_red,A_SAFE_ALIGNMENT,"set riskLevel=red; set diyAvailable=false",high,red,false,0
171,water-heater-heating-element-replacement,yellow,false,RED,red,,upward_align_yellow_to_red,A_SAFE_ALIGNMENT,"set riskLevel=red; set diyAvailable=false",high,red,false,0
172,water-heater-no-hot-water,yellow,false,RED,red,,upward_align_yellow_to_red,A_SAFE_ALIGNMENT,"set riskLevel=red; set diyAvailable=false",high,red,false,0
173,water-heater-pressure-problem,yellow,false,RED,red,,upward_align_yellow_to_red,A_SAFE_ALIGNMENT,"set riskLevel=red; set diyAvailable=false",high,red,false,0
174,water-heater-slow-heating,yellow,false,RED,red,,upward_align_yellow_to_red,A_SAFE_ALIGNMENT,"set riskLevel=red; set diyAvailable=false",high,red,false,0
175,water-heater-temperature-problem,yellow,false,RED,red,,upward_align_yellow_to_red,A_SAFE_ALIGNMENT,"set riskLevel=red; set diyAvailable=false",high,red,false,0
176,water-heater-thermostat-repair,yellow,false,RED,red,,upward_align_yellow_to_red,A_SAFE_ALIGNMENT,"set riskLevel=red; set diyAvailable=false",high,red,false,0
177,water-heater-valve-replacement,yellow,false,RED,red,,upward_align_yellow_to_red,A_SAFE_ALIGNMENT,"set riskLevel=red; set diyAvailable=false",high,red,false,0
178,water-heater-water-leakage-repair,yellow,false,RED,red,,upward_align_yellow_to_red,A_SAFE_ALIGNMENT,"set riskLevel=red; set diyAvailable=false",high,red,false,0
179,water-leakage-repair,yellow,false,RED,red,,upward_align_yellow_to_red,A_SAFE_ALIGNMENT,"set riskLevel=red; set diyAvailable=false",high,red,false,0
180,water-supply-line-repair,yellow,false,RED,red,,upward_align_yellow_to_red,A_SAFE_ALIGNMENT,"set riskLevel=red; set diyAvailable=false",high,red,false,0
181,water-tank-cleaning-service,yellow,false,RED,red,,upward_align_yellow_to_red,A_SAFE_ALIGNMENT,"set riskLevel=red; set diyAvailable=false",high,red,false,0
182,water-tank-disinfection,yellow,false,REVIEW_REQUIRED,review_required,,matrix_review_required_enum_gap,E_NO_CHANGE_REQUIRED,"No RiskLevel change (RR not in enum). Evaluator already treats matrix RR as authoritative.",high,,,0
183,water-tank-sanitization,yellow,false,REVIEW_REQUIRED,review_required,,matrix_review_required_enum_gap,E_NO_CHANGE_REQUIRED,"No RiskLevel change (RR not in enum). Evaluator already treats matrix RR as authoritative.",high,,,0
184,water-tank-valve-repair,yellow,false,RED,red,,upward_align_yellow_to_red,A_SAFE_ALIGNMENT,"set riskLevel=red; set diyAvailable=false",high,red,false,0
185,weight-equipment-maintenance,yellow,false,REVIEW_REQUIRED,review_required,,matrix_review_required_enum_gap,E_NO_CHANGE_REQUIRED,"No RiskLevel change (RR not in enum). Evaluator already treats matrix RR as authoritative.",high,,,0
186,wiring-inspection,yellow,false,RED,red,,upward_align_yellow_to_red,A_SAFE_ALIGNMENT,"set riskLevel=red; set diyAvailable=false",high,red,false,0
187,wiring-repair,yellow,false,RED,red,,upward_align_yellow_to_red,A_SAFE_ALIGNMENT,"set riskLevel=red; set diyAvailable=false",high,red,false,0
188,wiring-replacement,yellow,false,RED,red,,upward_align_yellow_to_red,A_SAFE_ALIGNMENT,"set riskLevel=red; set diyAvailable=false",high,red,false,0
